

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 7261            
  Cones                  : 0               
  Scalar variables       : 122             
  Matrix variables       : 0               
  Integer variables      : 121             

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 0.19
Presolved problem: 122 variables, 7261 constraints, 21901 non-zeros
Presolved problem: 0 general integer, 121 binary, 1 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
23364    23336    4404     100      -9.5291615284e-01    -2.5119487544e+00    163.61      50.5  
23630    23602    4428     84       -9.5291615284e-01    -2.4853270866e+00    160.81      50.9  
23894    23866    4438     106      -9.5291615284e-01    -2.4853270866e+00    160.81      51.4  
24153    24124    4461     82       -9.5291615284e-01    -2.4853270866e+00    160.81      51.8  
24420    24391    4484     105      -9.5291615284e-01    -2.4453804821e+00    156.62      52.3  
24685    24656    4525     92       -9.5291615284e-01    -2.4401955044e+00    156.08      52.8  
24953    24920    4555     114      -9.5291615284e-01    -2.4401955044e+00    156.08      53.3  
25221    25186    4571     116      -9.5291615284e-01    -2.3747503221e+00    149.21      53.8  
25491    25451    4581     87       -9.5291615284e-01    -2.3747503221e+00    149.21      54.4  
25758    25718    4594     109      -9.5291615284e-01    -2.3747503221e+00    149.21      54.9  
26017    25977    4603     60       -9.5291615284e-01    -2.3747503221e+00    149.21      55.4  
26284    26242    4636     82       -9.5291615284e-01    -2.3747503221e+00    149.21      55.9  
26551    26508    4659     105      -9.5291615284e-01    -2.3747503221e+00    149.21      56.5  
26815    26772    4695     94       -9.5291615284e-01    -2.3747503221e+00    149.21      57.1  
27082    27037    4714     114      -9.5291615284e-01    -2.3747503221e+00    149.21      57.6  
27348    27301    4718     110      -9.5291615284e-01    -2.3467966504e+00    146.28      58.2  
27612    27565    4734     107      -9.5291615284e-01    -2.3351317934e+00    145.05      58.7  
27878    27831    4758     71       -9.5291615284e-01    -2.3351317934e+00    145.05      59.3  
28147    28099    4761     94       -9.5291615284e-01    -2.3351317934e+00    145.05      59.8  
28414    28366    4776     116      -9.5291615284e-01    -2.3351317934e+00    145.05      60.3  
28672    28623    4792     105      -9.5291615284e-01    -2.3351317934e+00    145.05      60.9  
